GEOID20,District
34001040005,2
34001040001,2
34011020002,1
34011020001,1
34011010001,1
34001040006,2
34001105104,2
34011070608,1
34011050104,1
34011070602,1
34011070607,1
34011070609,1
34011015001,3
34033050004,3
34011070205,1
34011045002,1
34009030007,1
34009030015,1
34009020006,1
34009030001,1
34009020007,1
34001070201,2
34011045001,1
34001040002,2
34001105201,2
34001105203,2
34001040018,2
34001055004,2
34001070202,2
34009020003,1
34009055001,1
34001070102,2
34001070101,2
34001070203,2
34009030009,1
34009030004,1
34009030005,1
34009030006,1
34009030017,1
34009055008,1
34001030101,1
34009055012,1
34009005001,1
34009045004,1
34009055006,1
34009055002,1
34009055007,1
34009040401,1
34001105101,2
34009040403,1
34009040402,1
34011070606,1
34011070604,1
34011070601,1
34011070610,1
34001090204,2
34001095204,2
34001075001,2
34001080004,2
34009040201,1
34009040204,1
34009040203,1
34001105202,2
34011070406,1
34011070407,1
34011070102,1
34015025004,4
34001020001,4
34011070605,1
34011070103,1
34011070101,1
34001080003,2
34001090101,2
34001090102,2
34015025009,4
34001080002,2
34001080001,2
34001110003,2
34001060011,2
34001060007,2
34001060013,2
34011010002,1
34009040102,1
34009040202,1
34009040104,1
34009040103,1
34009040101,1
34007180304,4
34007180405,4
34007180403,4
34007180201,4
34011035003,3
34033050003,3
34033050002,3
34011010003,1
34011050506,1
34011050503,1
34011050501,1
34007075035,4
34007075018,4
34007075036,4
34007075031,4
34007075019,4
34007075030,4
34007075020,4
34007180306,4
34007180401,4
34007075034,4
34007140005,6
34007140003,6
34007075017,4
34007075014,4
34007075023,4
34015055213,4
34015055415,4
34015055203,4
34015055201,4
34015055209,4
34007180402,4
34007180301,4
34011010004,1
34011025001,1
34015055319,4
34015055302,4
34015055216,4
34015055312,4
34015055214,4
34011025002,1
34011065003,3
34011025004,1
34015055318,4
34001025001,4
34001060003,2
34001025002,4
34015025010,4
34015055404,4
34015055405,4
34015025006,4
34007140002,6
34007050001,6
34001020002,4
34011050102,1
34011050101,1
34007145001,6
34007050002,6
34001115001,1
34001060005,2
34001085101,8
34015055411,4
34015055425,4
34015055408,4
34015055421,4
34007180102,4
34007180103,4
34007180305,4
34007180303,4
34007180205,4
34007025001,6
34007180203,4
34007175002,4
34007110005,6
34011050103,1
34007110002,6
34007100002,6
34007100001,6
34033000501,3
34033045001,3
34033000704,3
34011035001,3
34011065001,3
34011065004,3
34015015006,3
34015040008,3
34015015004,3
34015120003,3
34015045001,3
34015080003,3
34015120008,3
34033035002,3
34015120007,3
34015045003,3
34015025003,4
34015025011,4
34015025002,4
34011055001,3
34011005301,1
34033055002,3
34033005501,3
34033045003,3
34033075002,3
34011005201,1
34011005302,1
34011005101,1
34011035002,3
34011005305,1
34011005304,1
34011005303,1
34033045002,3
34015080001,3
34015120001,3
34011050504,1
34011050505,1
34015100004,3
34015050009,3
34015050007,3
34015050011,3
34015015003,3
34011005401,1
34011005402,1
34011005501,1
34015040007,3
34015040009,3
34033050005,3
34033050006,3
34015030004,3
34015040006,3
34015040005,3
34015040003,3
34015040001,3
34011065002,3
34015020002,3
34033010001,3
34015020003,3
34011005202,1
34011005203,1
34015065001,4
34015005004,3
34015025008,4
34015025001,4
34011070206,1
34015015005,3
34015035006,3
34015120006,3
34015120004,3
34015085001,3
34015085002,3
34015045004,3
34015120005,3
34033075001,3
34015045002,3
34033035001,3
34033004003,3
34033004002,3
34033040001,3
34033000705,3
34015035003,3
34011050303,1
34011050302,1
34011050502,1
34011070401,1
34011070402,1
34011070303,1
34011070302,1
34011070506,1
34011070505,1
34011070504,1
34011070503,1
34011070204,1
34011070202,1
34011070301,1
34011070106,1
34011070201,1
34011070104,1
34011070203,1
34011050202,1
34011050402,1
34011050403,1
34011050401,1
34011070603,1
34011050301,1
34011050201,1
34011070403,1
34011070105,1
34011070501,1
34011070502,1
34011070404,1
34011070405,1
34015050005,3
34015050003,3
34015090001,4
34015090002,4
34015030013,3
34015030001,3
34015030007,3
34015075005,3
34015075003,3
34015030008,3
34015020004,3
34015020001,3
34015005003,3
34015005001,3
34015030011,3
34015005005,3
34015030002,3
34015030005,3
34015075006,3
34015075001,3
34015030009,3
34015005002,3
34015030003,3
34007180404,4
34015005006,3
34015030010,3
34015030012,3
34015090004,4
34015090005,4
34015050002,3
34015055122,4
34015055123,4
34015090037,4
34015090038,4
